N,A,R,run,ALE_DVLS,ALE_EPLO_Sobol,ALE_EPLO_Seed,ALE_EPLO_Mixed
100,10,30,1,191.541861868246,23.2961590715216,22.9114486440423,25.1667153132072
100,10,30,2,208.395567414017,18.3795815380531,18.1726671557944,18.6769971235881
100,10,30,3,188.444738482928,12.0778089504203,12.0781829803122,12.0779762933256
100,10,30,4,175.693880059929,16.5365327321434,17.5140249060898,17.785594544293
100,10,30,5,190.503039395594,11.9063018834772,12.3444175437031,11.5215075397087
100,10,30,6,183.464393269255,20.1876287629189,20.1874337046838,20.6513975415097
100,10,30,7,202.877501074402,16.1100003652157,16.1091747194169,15.8192076272521
100,10,30,8,196.200252858751,15.0551985361586,15.4726563774459,16.1076134689045
100,10,30,9,194.476435763656,16.4417757989021,16.442446860055,16.4420057336119
100,10,30,10,190.561119512756,16.4298212150627,17.3914943644398,17.8133024892917
100,10,40,1,218.961441541919,11.5394439101898,11.7612103653719,11.5575286077464
100,10,40,2,214.098407229928,14.9073480155536,18.077541421571,17.5230963172795
100,10,40,3,203.79049949669,11.1842531181577,11.1844232921515,11.1845043675037
100,10,40,4,342.129352123323,13.3911961632316,14.3781905999462,14.3787928371632
100,10,40,5,180.04286729942,13.0566965371219,13.0834732050079,13.6941784286274
100,10,40,6,203.182262063175,12.8629324906128,12.3994047447416,12.3996555705564
100,10,40,7,204.560370417482,15.7504810694592,16.2626359822827,16.3769866778493
100,10,40,8,194.801989657361,12.3555908462078,12.3550589205636,12.3554399911359
100,10,40,9,191.491073486159,13.7956703864798,13.7947238513392,13.5692751383481
100,10,40,10,249.141106243513,13.082290726188,12.7756881556335,12.8509718810506
100,20,30,1,185.211718965989,13.3048201303034,15.0455105319651,13.1505205160007
100,20,30,2,195.535399163755,12.1055864570444,13.1459826240542,13.3863034873345
100,20,30,3,197.924631119944,15.2335991703477,14.7008730268506,15.680382167103
100,20,30,4,190.947275402384,12.2698067703879,12.2700727254329,12.2701866055393
100,20,30,5,197.540851342564,13.4390671212726,13.5142589735505,13.6156561010737
100,20,30,6,200.512503259994,10.9700507909672,10.9690963443676,10.9700548299086
100,20,30,7,190.553314072652,14.1185866830422,15.0736647296965,15.0727549269009
100,20,30,8,178.046575009314,13.1533890367145,11.8740906978116,11.8234003519174
100,20,30,9,185.002316308454,14.8914815112697,16.3091467291484,15.4451490887028
100,20,30,10,203.070143003774,15.7076359262629,15.4461772703396,15.9089036772758
100,20,40,1,187.013453650052,9.63116374799737,9.63035247230387,9.63001436850261
100,20,40,2,184.608226454263,9.32223974753753,9.3495377053797,9.32283174854622
100,20,40,3,198.179558603153,8.90304906012843,8.90347201702191,8.90250776203845
100,20,40,4,193.536431388063,8.75740519459625,8.75737392025985,8.75790215751713
100,20,40,5,195.115331174121,9.25471500543941,9.26825677300194,9.26775684641255
100,20,40,6,946.939622322147,10.5479826835825,10.5483546496492,10.547550856255
100,20,40,7,167.718443366788,9.37710839864547,9.37684481537103,9.376869874019
100,20,40,8,196.774119223149,11.3151681532135,11.1326483066156,11.1328922396144
100,20,40,9,209.580963630845,8.89555550189053,8.89595444006724,8.89550230092815
100,20,40,10,194.068281060565,8.3474694231043,8.34688497740592,8.3472613373456
200,10,30,1,198.898193968975,12.2250692364606,12.1303870506716,12.1428212594094
200,10,30,2,185.457390030138,10.7248722868739,10.714540036913,10.731557491409
200,10,30,3,209.841266610022,17.3208005217858,20.1072439465447,19.936222557379
200,10,30,4,290.283450713209,14.8146511370596,15.4916690526274,16.902163832684
200,10,30,5,208.865629204342,11.3916089271039,11.3918394065477,11.1685467602394
200,10,30,6,197.293050211124,13.2314594393507,13.2459694051468,13.4740383083212
200,10,30,7,196.659461746724,10.4348719367197,10.4350273507557,10.4349244434877
200,10,30,8,178.720027898552,9.80716820643257,9.79119663160448,10.2680393407021
200,10,30,9,182.175254219164,9.88540568043416,9.88611523151735,9.88590192310438
200,10,30,10,208.022735341682,11.0045527882677,11.2389771538268,10.7856835266884
200,10,40,1,200.48250872743,14.3239172274395,15.5799721765434,16.9739002763199
200,10,40,2,194.151425401671,11.1768854935646,11.1655710412805,11.1771664697377
200,10,40,3,233.589983357476,14.3282559871951,14.3958458706173,14.6277215582401
200,10,40,4,258.871332742794,12.2825136703327,12.3909297669453,12.943002840344
200,10,40,5,185.353306013971,13.3538416579263,14.1526479823057,14.6283764226033
200,10,40,6,192.800395788876,20.1167239877246,18.7306733926632,18.6392434064717
200,10,40,7,194.605615518589,11.1506075995839,11.3957342939876,11.1502839029377
200,10,40,8,186.5604621583,13.7349080152489,15.1957181086103,14.033756683283
200,10,40,9,202.070671349698,12.8976274380461,12.8979169742847,12.8977549845624
200,10,40,10,188.913376530063,14.8990619277899,14.6122758847377,14.3817550988774
200,20,30,1,193.170264905225,7.35387563095943,7.35425475378191,7.35435806356081
200,20,30,2,193.227893734508,7.86967062282528,7.86941910352895,7.86954703317393
200,20,30,3,198.580427745598,8.99145636422314,8.97722319548252,8.97662341616353
200,20,30,4,203.457670672151,8.75454332170651,8.75481187904141,8.7545753057814
200,20,30,5,189.2397359639,7.98483047744126,7.98406886663064,7.9846984115481
200,20,30,6,184.114030647067,7.68209666371389,7.68195718213811,7.68213665721702
200,20,30,7,185.327161353758,8.57386784543847,8.5739379630523,8.57383261518949
200,20,30,8,188.70994340639,8.36663823940575,9.09353045946191,8.68791420882361
200,20,30,9,187.401372946153,7.92779519155283,7.92711106418922,7.92763460404252
200,20,30,10,193.420588052397,8.07935704213354,8.07965078246539,8.07959841569781
200,20,40,1,200.80622948093,9.85739643857405,9.85750287852375,9.76371389850238
200,20,40,2,191.97387171473,7.8485708107203,7.84932187099389,7.84933496406921
200,20,40,3,203.320986284213,10.2947903970094,10.2720224201562,10.283862852396
200,20,40,4,186.122008032468,8.67477133000635,8.67393363358051,8.67525209074787
200,20,40,5,187.066270947218,8.36586432377875,8.36602124764087,8.36596147326723
200,20,40,6,190.989690143961,10.7293722491791,10.7287380013832,10.7292291067382
200,20,40,7,185.188716050882,9.53747758584173,9.53688287535792,9.537242670012
200,20,40,8,196.223028426075,7.95818274607167,7.95797355420025,7.9580337022663
200,20,40,9,184.6325828365,10.1143020031986,10.1143893802465,10.1144735143402
200,20,40,10,191.347867173319,9.03815400786834,9.03730535883433,9.03721784369504
